SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localReadOnlyTxRemoteNodesRead,applicationContentionFactor,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,tOPrepareWaitTime,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180319,0,162,170,0,0,547854.3895647059,538038.4755864197,547854.3895647059,9.274593373493975,9794.531611764707,0.6557354017065135,1.8103627786666667E8,1,100000,UNIFORM,1,64.70735240963855,44.69211445783132,11,0,0,547655,129,0,0,0,13.0,0.0,false,0,0,93,0,0,19,1457,58089,170,0,0,0,0,0,56281,125,5.0,0,693,0,434,14,0,0,0,1,SAFE,0,0,166528,0,0,7386,18,0,2863,0,0,542845,162,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6705,3406,0,2.447058823529412,0,-1.0,0,0,0.0,0,332,1000,0,537806,0,true,0,0,46,0,2.5722186076772933,537797,0,0,0,10,0,0.0,850,0,0,0,true,2.552941176470588,57052,0,0,43,0,0,true,547664,501.141975308642,7256,0,0,0,75929,1.8444444444444446,0,71,7386,0,60,0.0,0.0,0,1000,0,19,0,0,13.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,502.0176470588235,0.0,0,1033,96,0,538114,0,1038,0,56753,537382,0,194,0,7571,332000,0,1005,170,0,0,0,0,1819,89,0.0,5.0,6734,2PC__ TO__ PB,0,0,0,18.92222222222222,0.5120481927710844,0,0,0.0,0,0.5120481927710844,49863,49863
1,180367,0,160,163,0,0,561859.7219079754,554761.6257999999,561859.7219079754,9.977758513931889,10494.462312883436,0.643128444761212,1.6080683306666666E8,1,100000,UNIFORM,1,66.5752786377709,47.15321671826625,11,0,0,561670,130,0,0,0,15.0,0.0,false,0,0,83,0,0,19,1605,57467,163,0,0,0,0,0,55609,117,5.0,0,747,0,419,15,0,0,0,1,SAFE,0,0,162014,0,0,10753,18,0,2863,0,0,558164,160,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6517,3415,0,2.4294478527607364,0,-1.0,0,0,0.0,0,323,1000,0,554599,0,true,0,0,69,0,2.5785899094437257,554591,0,0,0,10,0,0.0,815,0,0,0,true,2.5705521472392636,56349,0,0,43,0,0,true,561681,500.425,7787,0,0,0,51443,1.7944444444444445,0,71,10753,0,60,0.0,0.0,0,1000,0,19,0,0,15.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,502.7361963190184,0.0,0,1029,79,0,551398,0,1068,0,56042,554177,0,182,0,8146,323000,0,1037,163,0,0,0,0,2001,88,0.0,5.0,6697,2PC__ TO__ PB,0,0,0,18.97222222222222,0.5046439628482973,0,0,0.0,0,0.5046439628482973,49753,49753
2,180000,0,166,178,0,0,528588.2498370786,517356.142126506,528588.2498370786,6.949281976744186,9087.443235955056,0.6496998938051629,1.5862409333333334E8,1,100000,UNIFORM,1,83.76805523255814,42.930825581395354,10,0,0,528417,128,0,0,0,16.0,0.0,false,0,0,82,0,0,19,1521,58055,178,0,0,0,0,0,56110,113,5.0,0,780,0,468,14,0,0,0,1,SAFE,0,0,172457,0,0,9117,18,0,2863,0,0,522987,166,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6429,3416,0,2.3707865168539324,0,-1.0,0,0,0.0,0,344,1000,0,517170,0,true,0,0,59,0,2.5738932291666665,517165,0,0,0,10,0,0.0,890,0,0,0,true,2.6292134831460676,54903,0,0,43,0,0,true,528425,502.0903614457831,6543,0,0,0,55041,1.9111111111111112,0,71,9117,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,500.6179775280899,0.0,0,1090,78,0,519545,0,1001,0,54630,516839,0,197,0,6876,344000,0,970,178,0,0,0,0,1897,87,0.0,5.0,6639,2PC__ TO__ PB,0,0,0,18.977777777777778,0.5174418604651163,0,0,0.0,0,0.5174418604651163,49874,49874
3,180503,0,161,169,0,0,554866.4906863905,538544.321757764,554866.4906863905,9.07449090909091,10557.175875739646,0.5309543224690051,1.6064569066666666E8,1,100000,UNIFORM,1,71.62824242424243,46.15129090909091,10,0,0,554665,119,0,0,0,14.0,0.0,false,0,0,83,0,0,19,1628,58210,169,0,0,0,0,0,56235,116,5.0,0,796,0,439,15,0,0,0,1,SAFE,0,0,164838,0,0,10645,18,0,2863,0,0,546710,161,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6674,3420,0,2.4023668639053253,0,-1.0,0,0,0.0,0,330,1000,0,538372,0,true,0,0,66,0,2.583818770226537,538359,0,0,0,10,0,0.0,845,0,0,0,true,2.5976331360946747,54646,0,0,43,0,0,true,554674,498.3416149068323,7704,0,0,0,59140,1.8333333333333333,0,71,10645,0,60,0.0,0.0,0,1000,0,19,0,0,14.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,500.6213017751479,0.0,0,1097,79,0,544358,0,1050,0,54344,537939,0,195,0,8151,330000,0,1019,169,0,0,0,0,2048,87,0.0,5.0,6828,2PC__ TO__ PB,0,0,0,19.0,0.5121212121212121,0,0,0.0,0,0.5121212121212121,49972,49972
4,180385,0,169,165,0,0,546056.1694969697,534119.1456390532,546056.1694969697,7.590026946107784,8590.173412121212,0.7132670931400642,1.6083346933333334E8,1,100000,UNIFORM,1,81.20599401197605,45.009251497005984,10,0,0,545894,122,0,0,0,15.0,0.0,false,0,0,83,0,0,19,1572,57596,165,0,0,0,0,0,55689,115,5.0,0,755,0,408,14,0,0,0,1,SAFE,0,0,166609,0,0,7839,18,0,2863,0,0,539830,169,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6434,3428,0,2.5272727272727273,0,-1.0,0,0,0.0,0,334,1000,0,533915,0,true,0,0,60,0,2.54912734324499,533909,0,0,0,10,0,0.0,825,0,0,0,true,2.4727272727272727,55482,0,0,43,0,0,true,545901,498.9940828402367,5895,0,0,0,48344,1.8555555555555556,0,71,7839,0,60,0.0,0.0,0,1000,0,19,0,0,15.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,498.6606060606061,0.0,0,1076,83,0,537532,0,1040,0,55206,533540,0,182,0,6265,334000,0,1010,165,0,0,0,0,1998,87,0.0,5.0,6507,2PC__ TO__ PB,0,0,0,19.044444444444444,0.4940119760479042,0,0,0.0,0,0.4940119760479042,50038,50038
5,180102,0,175,157,0,0,546250.4788980891,538974.4038857142,546250.4788980891,6.247614457831325,10296.969898089172,0.5867630606182509,1.5937543093333334E8,1,100000,UNIFORM,1,56.23531325301205,46.05409337349398,11,0,0,546047,120,0,0,0,13.0,0.0,false,0,0,90,0,0,19,1688,58346,157,0,0,0,0,0,56348,115,5.0,0,801,0,400,14,0,0,0,1,SAFE,0,0,165212,0,0,9657,18,0,2863,0,0,542222,175,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6041,3405,0,2.4522292993630574,0,-1.0,0,0,0.0,0,332,1000,0,538795,0,true,0,0,74,0,2.5811910185486497,538790,0,0,0,10,0,0.0,785,0,0,0,true,2.5477707006369426,55981,0,0,43,0,0,true,546056,498.2342857142857,7533,0,0,0,66272,1.8444444444444446,0,71,9657,0,60,0.0,0.0,0,1000,0,19,0,0,13.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,496.9490445859873,0.0,0,1119,86,0,535999,0,1045,0,55692,538397,0,166,0,7870,332000,0,1014,157,0,0,0,0,2087,88,0.0,5.0,6201,2PC__ TO__ PB,0,0,0,18.916666666666668,0.47289156626506024,0,0,0.0,0,0.47289156626506024,50253,50253
6,180426,0,161,179,0,0,534112.0352569832,526669.8428571429,534112.0352569832,7.841552941176471,9483.280905027934,0.6062407795878828,1.618674352E8,1,100000,UNIFORM,1,72.72568529411765,42.44831470588235,10,0,0,533930,119,0,0,0,15.0,0.0,false,0,0,80,0,0,19,1496,56684,179,0,0,0,0,0,54786,115,5.0,0,745,0,472,15,0,0,0,1,SAFE,0,0,169314,0,0,8609,18,0,2863,0,0,530428,161,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6322,3403,0,2.363128491620112,0,-1.0,0,0,0.0,0,340,1000,0,526542,0,true,0,0,74,0,2.5778648383937317,526535,0,0,0,10,0,0.0,895,0,0,0,true,2.636871508379888,55330,0,0,43,0,0,true,533942,497.51552795031057,6953,0,0,0,57293,1.8888888888888888,0,71,8609,0,60,0.0,0.0,0,1000,0,19,0,0,15.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,498.4022346368715,0.0,0,1077,82,0,524658,0,1021,0,55067,526216,0,164,0,7293,340000,0,992,179,0,0,0,0,1877,86,0.0,5.0,6456,2PC__ TO__ PB,0,0,0,18.905555555555555,0.5264705882352941,0,0,0.0,0,0.5264705882352941,50134,50134
7,180371,0,159,172,0,0,553421.3259767442,535584.5611949685,553421.3259767442,8.999643504531722,10203.507168604652,0.5307531543832298,1.6056057493333334E8,1,100000,UNIFORM,1,74.23398791540785,43.944969788519636,11,0,0,553256,121,0,0,0,16.0,0.0,false,0,0,83,0,0,19,1701,57924,172,0,0,0,0,0,55937,112,5.0,0,821,0,430,14,0,0,0,1,SAFE,0,0,165460,0,0,9944,18,0,2863,0,0,544686,159,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5945,3389,0,2.5,0,-1.0,0,0,0.0,0,331,1000,0,535425,0,true,0,0,59,0,2.5611510791366907,535415,0,0,0,10,0,0.0,860,0,0,0,true,2.5,54594,0,0,43,0,0,true,553267,498.6666666666667,7398,0,0,0,55013,1.8388888888888888,0,71,9944,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,501.0,0.0,0,1088,78,0,543272,0,1046,0,54329,535111,0,171,0,7733,331000,0,1015,172,0,0,0,0,2147,87,0.0,5.0,6200,2PC__ TO__ PB,0,0,0,18.82777777777778,0.5196374622356495,0,0,0.0,0,0.5196374622356495,49885,49885
8,180068,0,179,152,0,0,545218.2697105263,542876.8026536313,545218.2697105263,10.141416918429002,10127.356644736841,0.5586752400184075,1.6441303573333332E8,1,100000,UNIFORM,1,62.34750755287009,47.71038066465257,10,0,0,545019,144,0,0,0,16.0,0.0,false,0,0,92,0,0,19,1567,55021,152,0,0,0,0,0,52938,123,5.0,0,854,0,380,14,0,0,0,1,SAFE,0,0,165290,0,0,8545,18,0,2863,0,0,543772,179,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6382,3429,0,2.5,0,-1.0,0,0,0.0,0,331,1000,0,542721,0,true,0,0,62,0,2.5597159457714653,542713,0,0,0,10,0,0.0,760,0,0,0,true,2.5,54744,0,0,43,0,0,true,545028,499.77653631284915,7264,0,0,0,60247,1.8388888888888888,0,71,8545,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,498.88157894736844,0.0,0,1149,87,0,535123,0,1046,0,54447,542358,0,169,0,7644,331000,0,1015,152,0,0,0,0,2144,84,0.0,5.0,6478,2PC__ TO__ PB,0,0,0,19.05,0.459214501510574,0,0,0.0,0,0.459214501510574,50027,50027
9,180419,0,146,174,0,0,565832.9882126437,561209.0458835616,565832.9882126437,9.989600000000001,9635.984689655172,0.7219536984540462,1.6151178826666668E8,1,100000,UNIFORM,1,87.17125937499999,47.706050000000005,10,0,0,565595,133,0,0,0,16.0,0.0,false,0,0,86,0,0,19,1582,56916,174,0,0,0,0,0,55058,118,5.0,0,753,0,436,14,0,0,0,1,SAFE,0,0,160405,0,0,11660,18,0,2863,0,0,563499,146,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6315,3397,0,2.4942528735632186,0,-1.0,0,0,0.0,0,320,1000,0,561007,0,true,0,0,70,0,2.5875853103672406,561001,0,0,0,10,0,0.0,870,0,0,0,true,2.5057471264367814,56269,0,0,43,0,0,true,565639,500.6986301369863,6934,0,0,0,74269,1.7777777777777777,0,71,11660,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,501.7413793103448,0.0,0,1029,81,0,556262,0,1080,0,55980,560644,0,221,0,7268,320000,0,1049,174,0,0,0,0,1975,87,0.0,5.0,6572,2PC__ TO__ PB,0,0,0,18.872222222222224,0.54375,0,0,0.0,0,0.54375,50020,50020
10,180284,0,153,171,0,0,566266.7943684211,545217.2538300654,566266.7943684211,8.124234567901235,9495.941666666666,0.6210790899626012,1.625656064E8,1,100000,UNIFORM,1,101.05811728395062,48.019666666666666,11,0,0,566064,127,0,0,0,14.0,0.0,false,0,0,87,0,0,19,1744,58482,171,0,0,0,0,0,56538,115,5.0,0,790,0,428,14,0,0,0,1,SAFE,0,0,162061,0,0,8617,18,0,2863,0,0,556133,153,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6334,3423,0,2.497076023391813,0,-1.0,0,0,0.0,0,324,1000,0,545043,0,true,0,0,69,0,2.606324620845434,545034,0,0,0,10,0,0.0,855,0,0,0,true,2.502923976608187,52936,0,0,43,0,0,true,566075,499.8235294117647,6629,0,0,0,59773,1.8,0,71,8617,0,60,0.0,0.0,0,1000,0,19,0,0,14.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,500.51461988304095,0.0,0,1075,83,0,556812,0,1067,0,52645,544627,0,216,0,6987,324000,0,1035,171,0,0,0,0,2139,85,0.0,5.0,6455,2PC__ TO__ PB,0,0,0,19.016666666666666,0.5277777777777778,0,0,0.0,0,0.5277777777777778,50056,50056
11,180204,0,167,163,0,0,547973.5952883435,544056.2444071857,547973.5952883435,6.277412121212121,10172.014791411042,0.660916374999365,1.6168666453333333E8,1,100000,UNIFORM,1,78.1218696969697,46.435981818181816,11,0,0,547777,145,0,0,0,16.0,0.0,false,0,0,85,0,0,19,1641,57966,163,0,0,0,0,0,55954,119,5.0,0,798,0,396,14,0,0,0,1,SAFE,0,0,164312,0,0,9286,18,0,2863,0,0,545797,167,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6968,3424,0,2.5705521472392636,0,-1.0,0,0,0.0,0,330,1000,0,543871,0,true,0,0,70,0,2.616677440206852,543865,0,0,0,10,0,0.0,815,0,0,0,true,2.4294478527607364,56062,0,0,43,0,0,true,547785,498.1976047904192,7389,0,0,0,56805,1.8333333333333333,0,71,9286,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,497.62576687116564,0.0,0,1135,80,0,537838,0,1052,0,55776,543546,0,198,0,7769,330000,0,1021,163,0,0,0,0,2063,88,0.0,5.0,7104,2PC__ TO__ PB,0,0,0,19.022222222222222,0.49393939393939396,0,0,0.0,0,0.49393939393939396,50181,50181
12,180364,0,155,171,0,0,550812.6188830409,555810.8498451613,550812.6188830409,6.239092024539877,9428.392701754387,0.6978581763107495,1.6008156053333333E8,1,100000,UNIFORM,1,90.83342331288343,44.95318404907975,10,0,0,550639,129,0,0,0,16.0,0.0,false,0,0,89,0,0,19,1501,55450,171,0,0,0,0,0,53478,120,5.0,0,783,0,432,14,0,0,0,1,SAFE,0,0,162169,0,0,9350,18,0,2863,0,0,553009,155,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6510,3426,0,2.473684210526316,0,-1.0,0,0,0.0,0,326,1000,0,555631,0,true,0,0,67,0,2.6041935483870966,555623,0,0,0,10,0,0.0,855,0,0,0,true,2.526315789473684,56956,0,0,43,0,0,true,550649,497.0064516129032,6690,0,0,0,59401,1.8111111111111111,0,71,9350,0,60,0.0,0.0,0,1000,0,19,0,0,16.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,497.85380116959067,0.0,0,1110,85,0,541443,0,1069,0,56670,555287,0,177,0,7191,326000,0,1039,171,0,0,0,0,1910,87,0.0,5.0,6665,2PC__ TO__ PB,0,0,0,19.033333333333335,0.5245398773006135,0,0,0.0,0,0.5245398773006135,50074,50074
